列名,词,出现次数
Project Name,22.6,17683
Package Name,mindustry.content,3724
Package Name,mindustry.ui.dialogs,1284
Package Name,mindustry.graphics,942
Package Name,mindustry.world.blocks.distribution,703
Package Name,mindustry.logic,650
Type Name,Blocks,2596
Type Name,UnitTypes,586
Type Name,SerpuloPlanetGenerator,287
Type Name,SectorPresets,205
Type Name,Waves,198
Code Smell,Magic Number,12669
Code Smell,Long Statement,1455
Code Smell,Unutilized Abstraction,817
Code Smell,Complex Conditional,774
Code Smell,Deficient Encapsulation,745
Method Name,load,3704
Method Name,draw,1425
Method Name,generate,592
Method Name,updateTile,485
Method Name,update,376
