ÁÐÃû,´Ê,³öÏÖ´ÎÊý
Project Name,24.3,8509
Package Name,net.sourceforge.pmd.lang.java.ast,616
Package Name,(default package),491
Package Name,net.sourceforge.pmd,424
Package Name,net.sourceforge.pmd.lang.document,319
Package Name,net.sourceforge.pmd.lang.java.rule.errorprone,293
Type Name,CharsTest,82
Type Name,RuleSetFactoryTest,78
Type Name,ConstantExpressionsTests,77
Type Name,LatticeRelationTest,77
Type Name,VfDocStyleTest,72
Code Smell,Unutilized Abstraction,2143
Code Smell,Magic Number,1721
Code Smell,Long Statement,1589
Code Smell,Unnecessary Abstraction,694
Code Smell,Cyclic-Dependent Modularization,664
Method Name,visit,254
Method Name,main,39
Method Name,testComparator,38
Method Name,determineBom,36
Method Name,testInitialSetFilter,32
