Project Name,Package Name,Type Name,Code Smell,Method Name
2019.9,baritone.gradle.task,BaritoneGradleTask,Unutilized Abstraction,
2019.9,baritone.gradle.task,CreateDistTask,Unutilized Abstraction,
2019.9,baritone.gradle.task,ProguardTask,Unutilized Abstraction,
2019.9,baritone.gradle.task,ProguardTask,Broken Hierarchy,
2019.9,baritone.gradle.util,ReobfWrapper,Unutilized Abstraction,
2019.9,baritone.api.accessor,IGuiScreen,Unutilized Abstraction,
2019.9,baritone.api.accessor,IItemStack,Unutilized Abstraction,
2019.9,baritone.api,BaritoneAPI,Cyclic-Dependent Modularization,
2019.9,baritone.api,Settings,Deficient Encapsulation,
2019.9,baritone.api,Settings,Cyclic-Dependent Modularization,
2019.9,baritone.api,Setting,Deficient Encapsulation,
2019.9,baritone.api,Setting,Cyclic-Dependent Modularization,
2019.9,baritone.api.behavior,IBehavior,Unnecessary Abstraction,
2019.9,baritone.api.behavior,IBehavior,Unutilized Abstraction,
2019.9,baritone.api.behavior,ILookBehavior,Unutilized Abstraction,
2019.9,baritone.api.behavior,IPathingBehavior,Unutilized Abstraction,
2019.9,baritone.api.cache,IBlockTypeAccess,Unutilized Abstraction,
2019.9,baritone.api.cache,ICachedRegion,Unutilized Abstraction,
2019.9,baritone.api.cache,IContainerMemory,Unutilized Abstraction,
2019.9,baritone.api.cache,IWaypoint,Deficient Encapsulation,
2019.9,baritone.api.cache,IWaypointCollection,Unutilized Abstraction,
2019.9,baritone.api.cache,IWorldProvider,Unutilized Abstraction,
2019.9,baritone.api.cache,IWorldScanner,Unutilized Abstraction,
2019.9,baritone.api.event.events,TabCompleteEvent,Deficient Encapsulation,
2019.9,baritone.api.event.events,Pre,Unutilized Abstraction,
2019.9,baritone.api.event.events,Post,Unutilized Abstraction,
2019.9,baritone.api.event.events,WorldEvent,Unutilized Abstraction,
2019.9,baritone.api.event.events.type,Cancellable,Unutilized Abstraction,
2019.9,baritone.api.event.events.type,ICancellable,Unutilized Abstraction,
2019.9,baritone.api.event.listener,AbstractGameEventListener,Unutilized Abstraction,
