Project Name,Package Name,Type Name,Code Smell,Method Name
karate-23-6,payment.consumer,ConsumerIntegrationAgainstMockTest,Unutilized Abstraction,
karate-23-6,payment.consumer,ConsumerIntegrationTest,Unutilized Abstraction,
karate-23-6,payment.producer,PaymentController,Unutilized Abstraction,
karate-23-6,payment.producer.contract,PaymentContractTest,Unutilized Abstraction,
karate-23-6,payment.producer.mock,PaymentContractAgainstMockTest,Unutilized Abstraction,
karate-23-6,jobtest,GatlingDockerJobRunner,Unutilized Abstraction,
karate-23-6,jobtest,GatlingRunner,Unutilized Abstraction,
karate-23-6,mock,MockUtils,Unutilized Abstraction,
karate-23-6,mock,MockUtils,Unutilized Abstraction,
karate-23-6,ui,ImageComparisonRunner,Unutilized Abstraction,
karate-23-6,ui,MockRunner,Unutilized Abstraction,
karate-23-6,ui,UiRunner,Unutilized Abstraction,
karate-23-6,common,Main,Unutilized Abstraction,
karate-23-6,jobtest.simple,SimpleDockerJobRunner,Unutilized Abstraction,
karate-23-6,jobtest.simple,SimpleLocalJobRunner,Unutilized Abstraction,
karate-23-6,jobtest.simple,SimpleRunner,Unutilized Abstraction,
karate-23-6,jobtest.web,WebDockerJobRunner,Unutilized Abstraction,
karate-23-6,jobtest.web,WebDockerRunner,Unutilized Abstraction,
karate-23-6,jobtest.web,WebRunner,Unutilized Abstraction,
karate-23-6,android,AndroidTest,Unutilized Abstraction,
karate-23-6,perf,Main,Unutilized Abstraction,
karate-23-6,mac,ChromeRunner,Unutilized Abstraction,
karate-23-6,win,CalcRunner,Unutilized Abstraction,
karate-23-6,examples,ExamplesTest,Unutilized Abstraction,
karate-23-6,examples.users,UsersRunner,Unutilized Abstraction,
karate-23-6,com.intuit.karate,Actions,Insufficient Modularization,
karate-23-6,com.intuit.karate,Constants,Deficient Encapsulation,
karate-23-6,com.intuit.karate,FileUtils,Deficient Encapsulation,
karate-23-6,com.intuit.karate,FileUtils,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,FileUtils,Insufficient Modularization,
karate-23-6,com.intuit.karate,Http,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Http,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,ImageComparison,Deficient Encapsulation,
karate-23-6,com.intuit.karate,MismatchException,Unutilized Abstraction,
karate-23-6,com.intuit.karate,MismatchException,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Json,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Json,Insufficient Modularization,
karate-23-6,com.intuit.karate,JsonUtils,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,JsonUtils,Insufficient Modularization,
karate-23-6,com.intuit.karate,LogAppender,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Main,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Match,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Match,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Match,Insufficient Modularization,
karate-23-6,com.intuit.karate,Validator,Unnecessary Abstraction,
karate-23-6,com.intuit.karate,Validator,Unutilized Abstraction,
karate-23-6,com.intuit.karate,RegexValidator,Unutilized Abstraction,
karate-23-6,com.intuit.karate,RegexValidator,Broken Hierarchy,
karate-23-6,com.intuit.karate,Result,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Context,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Value,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Value,Insufficient Modularization,
karate-23-6,com.intuit.karate,MatchOperation,Deficient Encapsulation,
karate-23-6,com.intuit.karate,MatchOperation,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,MatchOperation,Insufficient Modularization,
karate-23-6,com.intuit.karate,MatchStep,Imperative Abstraction,
karate-23-6,com.intuit.karate,MatchStep,Deficient Encapsulation,
karate-23-6,com.intuit.karate,MatchStep,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,PerfHook,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Results,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Results,Insufficient Modularization,
karate-23-6,com.intuit.karate,Runner,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Runner,Insufficient Modularization,
karate-23-6,com.intuit.karate,Builder,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,Builder,Insufficient Modularization,
karate-23-6,com.intuit.karate,RuntimeHook,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,ScenarioActions,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,ScenarioActions,Insufficient Modularization,
karate-23-6,com.intuit.karate,StringUtils,Deficient Encapsulation,
karate-23-6,com.intuit.karate,StringUtils,Insufficient Modularization,
karate-23-6,com.intuit.karate,Pair,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Suite,Deficient Encapsulation,
karate-23-6,com.intuit.karate,Suite,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,XmlUtils,Cyclic-Dependent Modularization,
karate-23-6,com.intuit.karate,XmlUtils,Insufficient Modularization,
karate-23-6,com.intuit.karate,FileUtilsTest,Unutilized Abstraction,
karate-23-6,com.intuit.karate,IdeMainRunner,Unutilized Abstraction,
