列名,词,出现次数
Project Name,19.9,7729
Package Name,io.anuke.mindustry.content,2471
Package Name,io.anuke.mindustry.ui.dialogs,587
Package Name,io.anuke.mindustry.editor,303
Package Name,io.anuke.mindustry.world.blocks.distribution,296
Package Name,io.anuke.mindustry.entities.type,286
Type Name,Blocks,902
Type Name,Fx,714
Type Name,Bullets,341
Type Name,UnitTypes,198
Type Name,Mechs,148
Code Smell,Magic Number,5889
Code Smell,Long Statement,562
Code Smell,Unutilized Abstraction,308
Code Smell,Complex Conditional,249
Code Smell,Deficient Encapsulation,222
Method Name,load,2373
Method Name,update,352
Method Name,draw,342
Method Name,setup,224
Method Name,build,182
