Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,18723,2019.12,1121
19.3,19708,2019.3,1121
19.6,20292,2019.6,730
19.9,20292,2020.12,1170
19.12,20378,2020.6,1181
20.3,35901,2020.9,2153
20.6,35901,2021.3,2153
20.9,31272,2021.6,1955
20.12,34392,2022.12,2200
21.3,34565,2022.3,2214
21.6,34718,2022.9,2250
21.9,34726,2023.12,2253
21.12,39683,2023.3,2258
22.3,36158,2023.6,2361
22.6,39465,2023.9,2546
22.9,39465,2024.3,2546
22.12,41823,,2568
23.3,41823,,2679
23.6,47764,,2801
23.9,53077,,3266
23.12,56946,,3312
24.3,56946,,3549
