Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,38344,18.12,6799
19.3,42358,19.12,7264
19.6,42365,19.3,7264
19.9,46589,19.6,7729
19.12,55152,19.9,8841
20.3,57515,20.12,9098
20.6,66449,20.3,9654
20.9,75352,20.6,11072
20.12,81597,20.9,12346
21.3,84357,21.12,12725
21.6,91094,21.3,14009
21.9,93925,21.6,14380
21.12,95548,21.9,14635
22.3,95854,22.12,14660
22.6,114745,22.3,17683
22.9,120244,22.6,18591
22.12,121696,22.9,18822
23.3,122166,23.12,18852
23.6,124279,23.3,19147
23.9,126522,23.6,19426
23.12,128017,23.9,19655
24.3,95548,24.3,14381
