Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,11075,2018.12,990
19.3,12890,2019.12,1232
19.6,13891,2019.3,1313
19.9,17811,2019.6,1525
19.12,18192,2019.9,1525
20.3,18352,2020.12,1557
20.6,18360,2020.3,1557
20.9,18549,2020.6,1569
20.12,18734,2020.9,1588
21.3,19030,2021.12,1608
21.6,19205,2021.3,1621
21.9,19208,2021.6,1615
21.12,19301,2021.8,1624
22.3,19012,2022.12,1659
22.6,18786,2022.3,1751
22.9,18965,2022.6,1638
22.12,19750,2022.9,1696
23.3,19975,2023.11,1713
23.6,21241,2023.3,1920
23.9,23948,2023.6,2130
23.12,23961,2023.9,2128
24.3,23970,24.3,2128
