Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,61251,2018.12,16828
19.3,67759,2019.12,19989
19.6,70695,2019.3,21511
19.9,73840,2019.6,23222
19.12,75638,2019.9,23614
20.3,77271,2020.12,23945
20.6,80619,2020.3,25406
20.9,81742,2020.6,25781
20.12,85092,2020.9,27979
21.3,83092,2021.12,27496
21.6,83877,2021.3,27913
21.9,82448,2021.6,27779
21.12,82772,2021.9,27977
22.3,83267,2022.12,28482
22.6,84061,2022.3,28671
22.9,83932,2022.6,29130
22.12,98803,2022.9,30684
23.3,99349,2023.12,30884
23.6,99972,2023.3,31235
23.9,99436,2023.6,31847
23.12,98928,2023.9,31765
24.3,98499,2024.3,31701
