Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,22147,karate-18-12,995
19.3,22690,karate-19-12,1016
19.6,23732,karate-19-3,1064
19.9,28883,karate-19-6,1341
19.12,28665,karate-19-9,1330
20.3,30088,karate-20-12,1280
20.6,34323,karate-20-3,1446
20.9,35839,karate-20-6,1502
20.12,37023,karate-20-9,1496
21.3,38929,karate-21-12,1740
21.6,40199,karate-21-3,1745
21.9,41083,karate-21-6,1790
21.12,40831,karate-21-9,1779
22.3,42054,karate-22-12,1828
22.6,42266,karate-22-3,1845
22.9,42086,karate-22-6,1832
22.12,42054,karate-22-9,1898
23.3,41760,karate-23-12,1698
23.6,41763,karate-23-3,1698
23.9,41117,karate-23-6,1673
23.12,40128,karate-23-9,1654
24.3,40128,karate-24-3,1654
