Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,18589,mybatis-plus-18-12,948
19.3,19548,mybatis-plus-19-12,1073
19.6,21680,mybatis-plus-19-3,1204
19.9,20937,mybatis-plus-19-6,1193
19.12,22695,mybatis-plus-19-9,1287
20.3,23971,mybatis-plus-20-12,1429
20.6,26206,mybatis-plus-20-3,1584
20.9,27966,mybatis-plus-20-6,1736
20.12,24171,mybatis-plus-20-9,1533
21.3,24659,mybatis-plus-21-12,1560
21.6,22602,mybatis-plus-21-3,1488
21.9,22699,mybatis-plus-21-6,1529
21.12,23734,mybatis-plus-21-9,1598
22.3,24049,mybatis-plus-22-12,1622
22.6,23858,mybatis-plus-22-3,1593
22.9,24466,mybatis-plus-22-6,1618
22.12,35510,mybatis-plus-22-9,2100
23.3,35973,mybatis-plus-23-12,2132
23.6,36172,mybatis-plus-23-3,2140
23.9,37958,mybatis-plus-23-6,2275
23.12,40482,mybatis-plus-23-9,2446
24.3,41112,mybatis-plus-24-3,2542
