Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,112431,pmd-18-12,6332
19.3,115348,pmd-19-12,7376
19.6,111460,pmd-19-3,7344
19.9,111849,pmd-19-6,7392
19.12,116764,pmd-19-9,7780
20.3,122561,pmd-20-12,8123
20.6,124285,pmd-20-3,8252
20.9,127743,pmd-20-6,8261
20.12,120252,pmd-20-9,8016
21.3,131309,pmd-21-12,8532
21.6,132342,pmd-21-3,8600
21.9,133705,pmd-21-6,8698
21.12,134310,pmd-21-9,8777
22.3,134783,pmd-22-12,8817
22.6,138878,pmd-22-3,9058
22.9,140355,pmd-22-6,9148
22.12,130689,pmd-22-9,8397
23.3,141967,pmd-23-12,9365
23.6,132503,pmd-23-3,8567
23.9,128527,pmd-23-6,8336
23.12,131971,pmd-23-9,8509
24.3,131971,pmd-24-3,8509
