Version,Sum of 8th Column,新增第三列数据,新增第四列数据
18.12,120861,2018.12,10999
19.3,150672,2019.12,11550
19.6,139206,2019.3,11732
19.9,144425,2019.6,12273
19.12,148587,2019.9,12420
20.3,162234,2020.12,12572
20.6,152215,2020.3,12762
20.9,155396,2020.6,13204
20.12,160014,2020.9,13348
21.3,175641,2021.12,13683
21.6,166131,2021.3,13906
21.9,169389,2021.6,13993
21.12,171819,2021.9,14331
22.3,186066,2022.12,14411
22.6,176092,2022.3,14771
22.9,180265,2022.6,14807
22.12,181638,2022.9,15249
23.3,218160,2023.12,16141
23.6,195412,2023.3,20127
23.9,212088,2023.6,20294
23.12,215179,2023.9,20548
24.3,222765,2024.3,21092
